date,live_races_total,live_race_sales,live_race_purses,simulcast_days_total,simulcast_sales,simulcast_average
January 2023,65,419327342.64,54040000.0,31,368334959.78,11881772.9
February 2023,68,455859689.0,57110000.0,28,359557577.58,12841342.06
March 2023,66,442793770.29,56110000.0,31,384179852.76,12392898.48
April 2023,77,506211677.36,67290000.0,29,378348345.01,13046494.66
May 2023,69,427359346.86,61860000.0,31,381813744.33,12316572.4
June 2023,67,429070350.0,63740000.0,30,361566404.82,12052213.49
July 2023,45,273153702.29,46140000.0,31,411350404.94,13269367.9
August 2023,78,479616554.94,83208850.0,31,382693899.45,12344964.5
September 2023,68,428873391.48,66802500.0,30,374255620.21,12475187.34
October 2023,72,417894511.36,69820000.0,31,368940367.12,11901302.17
November 2023,40,225793337.1,44110000.0,30,236532452.99,7884415.1
December 2023,78,568482712.75,104640000.0,31,389450036.51,12562904.4
January 2024,66,432026075.33,61210000.0,31,400001000.44,12903258.08
February 2024,58,417418609.0,52330000.0,29,423268662.82,14595471.13
March 2024,59,334040442.0,44760000.0,31,315468260.03,10176395.48
